148,Andrews, John,,2,MA,Infantry,,,,,1862-1863,192.1,1
149,Andrews, Joseph,,91,PA,Infantry,A,Sgt.,,,1864,178.1,5
150,Andrews, Louis,"(Andreas), Louis",109,PA,Infantry,,Drummer,,"""or 111th Pennsylvania""",1865,188.1,6
151,Andrews, Malcomb,,6,ME,Infantry,G,,,,1863,171.1,4
152,Andrews, Philo,,13,CT,Infantry,H,,,,1864,178.1,5
153,Andrews, Samuel,,8,PA,Cavalry,B,,,,1863,171.1,4
154,Andrews, William,,12,PA,Reserves,B,,,"190 PA Infantry, Co. H",1865,188.1,6
155,Angerine, James E.,,20,NY,Infantry,H,,,,1863,171.1,4
156,Angle, Mahlon,,28,MI,Infantry,G,,,104 PA Infantry,1865,188.1,6
157,Angus, William,,71,PA,Infantry,B,,Col. Baker's California Regiment,,1862-1863,192.1,1
158,Anthony, James C.,,56,PA,Infantry,A,,,,1864,178.1,5
159,Anthony, James C.,,56,PA,Infantry,A,,,,1865,188.1,6
160,Anthony, Robert,,52,NY,Infantry,H,Pvt.,,,1864,178.1,5
161,Anthony, William H.H.,,105,PA,Infantry,F,Pvt.,,,1864,178.1,5
162,Anystanberger, A.,"Anystenberger, Alois",173,NY,Infantry,G,Cpl.,,,1865,188.1,6
163,Apple, Jacob,,62,PA,Infantry,M,,,,1864,178.1,6
164,Applebaugh, W. K.,,16,PA,Cavalry,,Sgt. Major,,,1863,171.1,5
165,Applegate, David,,23,PA,Infantry,G,,,,1864,178.1,6
166,Applegate, Samuel,,23,NJ,Infantry,I,,,,1863,171.1,5
167,Archer, Charles,,15,NY,Heavy Artillery,C,,,,1864,178.1,6
168,Archer, John A.,,61,NY,Infantry,F,,,,1865,188.2,17
169,Archer, John A.,"Archer, John H.",61,NY,Infantry,F,,,,1865,188.1,7
170,Archibald, D.,"Archibald, David",17,US,Infantry,C,,,,1865,188.1,7
171,Archibald, David,,17,US,Infantry,C,,,,1864,178.1,6
172,Ardies, Thomas A.,,84,NY,Infantry,K,,14 NY State Militia,,1863,171.1,5
173,Ardis, Thomas A.,,14,NY,Infantry,K,,,,1863,177.1,11
174,Arkle, George,,23,MO,Infantry,A,,,,1865,188.1,7
175,Arkwright, John,,,US,Army,,,"(formerly of St. Louis; inquiry of brother William Arkwright, N. Kendal, Westmoreland, England)",,1865,192.2,22
176,Armstrong,,"Armstrong, James",21,NY,Cavalry,C,,,,1865,188.1,7
177,Armstrong, Albert,,16,PA,Cavalry,D,,,,1864,178.1,6
178,Armstrong, Henry,,65,NY,Infantry,H,,,,1863,171.1,5
179,Armstrong, Martin,,,,Cavalry,,,,,1863,171.2,1
180,Armstrong, Oliver H.,,129,PA,Infantry,F,Sgt.,,,1863,171.1,5
181,Armstrong, Thomas,,6,OH,Infantry,H,,,,1864,178.1,6
182,Armstrong, W. Henry,"Armstrong, William Henry",62,NY,Infantry,,,,,1864,178.1,6
183,Armstrong, William,,24,NY,Independent Battery,,,,,1864,178.1,6
184,Armstrong, William,,71,NY,Infantry,C,,,,1864,178.1,6
185,Arnaud, John J.,,173,NY,Infantry,A,Musician,,,1863,171.1,5
186,Arnaud, John J.,,173,NY,Infantry,A,Sgt.,,,1863,171.1,5
187,Arnold, Delwane,,2,MI,Cavalry,,,,,1863,171.1,5
188,Arnold, Harvey,,14,US,Infantry,H,,,,1865,188.1,7
189,Arnold, James,,,(US),(Navy),,Landsman,"US Gunboat ""Kansas""",,1865,188.1,7
190,Arnold, Joseph H.,"Arnolds, Joseph H.",60,OH,Infantry,C,,,,1864,178.1,6
191,Arnold, L.B.,"Arnold, Lucius B.",49,NY,Infantry,,,,,1862-1863,192.1,1
192,Arnold, Reuben,,7,RI,Infantry,H,,,,1863,171.1,5
193,Arnot, Daniel,,36,PA,Infantry,,,,,1865,188.1,7
194,Arnum, Walter A.,,29,CT,"""Vols. (Colored)""",B,Pvt.,,,1864,178.1,6
195,Arrants,,,,US,Navy,,Act'g. Ensign,,,1864,185.2,7
196,Arrants, William B.,,,,,,Acting Ensign,"US Brig ""Perry""",,1863,171.1,5
197,Arthers, Joshua C.,,1,DE,Infantry,D,Cpl.,,,1864,178.1,6
198,Ash, George W.,,3,NJ,Infantry,H,,,,1864,178.1,6
199,Ash, Morris,,132,NY,Infantry,C,,,,1865,188.1,8
200,Ashbridge, Joseph L.,,121,PA,Infantry,G,,,,1863,171.1,6
201,Ashley, William H.,,6,NY,Cavalry,M,Sgt.,,,1863,171.1,6
